Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,37.040001,37.040001,35.470001,35.470001,35.470001,18700
2022-06-30,35.700001,35.700001,34.099998,34.299999,34.299999,45200
2022-07-01,35.200001,35.200001,34.560001,34.910000,34.910000,28800
2022-07-05,34.080002,34.110001,31.170000,31.750000,31.750000,101900
2022-07-06,31.260000,31.559999,30.260000,31.150000,31.150000,167100
2022-07-07,32.549999,32.939999,30.950001,31.510000,31.510000,176100
2022-07-08,33.369999,33.529999,32.810001,33.349998,33.349998,103700
2022-07-11,32.970001,33.490002,32.529999,33.259998,33.259998,17300
2022-07-12,31.840000,32.389999,30.889999,30.920000,30.920000,50700
2022-07-13,31.100000,31.639999,30.820000,31.170000,31.170000,91500
2022-07-14,30.290001,31.280001,29.780001,31.049999,31.049999,105100
2022-07-15,31.490000,31.790001,31.200001,31.350000,31.350000,28700
2022-07-18,32.790001,33.000000,32.560001,32.680000,32.680000,40200
2022-07-19,32.500000,33.259998,32.439999,33.200001,33.200001,18100
2022-07-20,32.779999,33.299999,32.599998,32.959999,32.959999,21700
2022-07-21,32.000000,32.680000,31.959999,32.099998,32.099998,19400
2022-07-22,32.099998,32.689999,31.820000,31.940001,31.940001,12800
2022-07-25,32.369999,32.689999,32.160000,32.490002,32.490002,18300
2022-07-26,33.029999,33.250000,32.150002,32.250000,32.250000,28300
2022-07-27,32.930000,33.480000,32.549999,33.459999,33.459999,16100
2022-07-28,33.590000,33.669998,32.860001,33.230000,33.230000,11700
2022-07-29,33.930000,34.520000,33.400002,33.400002,33.400002,17300
2022-08-01,32.310001,32.619999,31.990000,32.349998,32.349998,21400
2022-08-02,32.709999,33.360001,32.459999,32.860001,32.860001,18600
2022-08-03,32.880001,33.009998,31.709999,31.709999,31.709999,19000
2022-08-04,31.580000,31.780001,30.690001,30.740000,30.740000,51300
2022-08-05,30.410000,31.459999,30.340000,30.760000,30.760000,18100
2022-08-08,30.770000,31.700001,30.770000,31.600000,31.600000,35900
2022-08-09,31.879999,32.299999,31.500000,31.580000,31.580000,15100
2022-08-10,31.549999,32.270000,30.940001,31.969999,31.969999,29300
2022-08-11,32.700001,33.110001,32.369999,33.029999,33.029999,27700
2022-08-12,32.340000,32.549999,32.250000,32.259998,32.259998,12100
2022-08-15,30.809999,31.639999,30.799999,31.320000,31.320000,50300
2022-08-16,31.290001,31.750000,30.510000,30.730000,30.730000,43200
2022-08-17,30.910000,31.500000,30.590000,31.170000,31.170000,28400
2022-08-18,31.770000,32.310001,31.600000,32.169998,32.169998,110800
2022-08-19,31.950001,32.529999,31.879999,32.340000,32.340000,25200
2022-08-22,31.100000,32.650002,30.969999,32.209999,32.209999,34900
2022-08-23,32.650002,33.500000,32.650002,33.410000,33.410000,47700
2022-08-24,33.939999,33.939999,33.099998,33.750000,33.750000,20500
2022-08-25,33.849998,33.939999,32.830002,33.020000,33.020000,71400
2022-08-26,33.000000,33.029999,32.580002,32.759998,32.759998,12500
2022-08-29,33.220001,34.330002,33.220001,34.330002,34.330002,42700
2022-08-30,33.259998,33.490002,32.380001,32.860001,32.860001,31800
2022-08-31,32.119999,32.459999,31.500000,31.500000,31.500000,28300
2022-09-01,31.049999,31.290001,30.559999,30.570000,30.570000,38100
2022-09-02,31.549999,31.700001,30.830000,31.000000,31.000000,32200
2022-09-06,31.450001,31.450001,30.799999,30.889999,30.889999,109400
2022-09-07,30.680000,30.680000,29.070000,29.070000,29.070000,71200
2022-09-08,29.570000,29.879999,29.389999,29.540001,29.540001,28800
2022-09-09,30.299999,30.930000,30.230000,30.629999,30.629999,36400
2022-09-12,31.340000,31.610001,31.209999,31.219999,31.219999,26900
2022-09-13,30.850000,31.620001,30.490000,31.030001,31.030001,38500
2022-09-14,31.309999,31.879999,31.200001,31.350000,31.350000,18600
2022-09-15,31.000000,31.000000,30.070000,30.090000,30.090000,284500
2022-09-16,30.540001,30.639999,30.070000,30.230000,30.230000,28300
2022-09-19,30.230000,30.500000,29.120001,30.200001,30.200001,32200
2022-09-20,29.740000,30.200001,29.670000,29.870001,29.870001,12900
2022-09-21,30.500000,30.500000,29.500000,29.709999,29.709999,16200
2022-09-22,30.400000,30.730000,29.780001,29.860001,29.860001,11200
2022-09-23,29.120001,29.129999,28.000000,28.270000,28.270000,54900
2022-09-26,28.209999,28.670000,27.260000,27.379999,27.379999,26100
2022-09-27,27.760000,28.250000,27.620001,27.959999,27.959999,25600
2022-09-28,28.230000,29.230000,28.170000,29.049999,29.049999,20200
2022-09-29,29.750000,29.750000,28.820000,28.940001,28.940001,16400
2022-09-30,28.750000,28.790001,28.230000,28.299999,28.299999,7000
2022-10-03,29.870001,29.950001,29.200001,29.580000,29.580000,35700
2022-10-04,30.459999,30.700001,30.180000,30.520000,30.520000,32900
2022-10-05,30.940001,31.400000,30.500000,31.120001,31.120001,116600
2022-10-06,31.160000,31.690001,31.080000,31.680000,31.680000,90700
2022-10-07,31.750000,32.980000,31.750000,32.560001,32.560001,100700
2022-10-10,32.639999,33.150002,32.000000,32.020000,32.020000,72500
2022-10-11,31.540001,31.709999,31.070000,31.290001,31.290001,90100
2022-10-12,30.620001,31.000000,30.480000,30.750000,30.750000,24400
2022-10-13,30.690001,31.629999,30.629999,31.570000,31.570000,33600
2022-10-14,30.990000,31.049999,30.290001,30.430000,30.430000,116500
2022-10-17,30.920000,31.030001,30.360001,30.450001,30.450001,14800
2022-10-18,30.150000,30.309999,29.530001,29.870001,29.870001,43400
2022-10-19,29.950001,30.700001,29.879999,30.580000,30.580000,42100
2022-10-20,30.980000,31.150000,30.379999,30.570000,30.570000,101500
2022-10-21,30.459999,30.930000,30.209999,30.709999,30.709999,17100
2022-10-24,30.700001,30.900000,30.459999,30.580000,30.580000,17300
2022-10-25,30.540001,31.180000,30.540001,30.840000,30.840000,80600
2022-10-26,31.240000,31.870001,31.100000,31.740000,31.740000,24100
2022-10-27,32.200001,32.200001,31.780001,31.969999,31.969999,65000
2022-10-28,31.730000,31.830000,31.330000,31.600000,31.600000,22400
2022-10-31,31.120001,31.610001,30.780001,31.080000,31.080000,29100
2022-11-01,32.270000,32.270000,31.780001,31.860001,31.860001,18700
2022-11-02,32.000000,32.580002,31.709999,32.250000,32.250000,34400
2022-11-03,31.840000,32.150002,31.840000,31.889999,31.889999,13700
2022-11-04,33.270000,33.570000,33.049999,33.470001,33.470001,80200
2022-11-07,33.470001,33.860001,33.250000,33.369999,33.369999,26200
2022-11-08,33.279999,33.279999,32.310001,32.410000,32.410000,20900
2022-11-09,31.910000,31.990000,31.160000,31.340000,31.340000,30200
2022-11-10,31.290001,31.820000,31.020000,31.540001,31.540001,22000
2022-11-11,32.430000,32.689999,32.150002,32.590000,32.590000,24400
2022-11-14,32.230000,32.490002,31.260000,31.280001,31.280001,36900
2022-11-15,31.270000,32.580002,31.240000,31.930000,31.930000,34800
2022-11-16,31.700001,31.700001,31.120001,31.309999,31.309999,23500
2022-11-17,31.049999,31.070000,30.330000,30.530001,30.530001,96100
2022-11-18,29.650000,30.120001,29.389999,29.990000,29.990000,95800
